TYPE,ISTITLE,TOPIC
13,0,Everyone has access to the same quality of care and treatment. 
13,0,Private healthcare is unfair because only wealthy people can afford it. 
13,0,The National Health Service in the UK provides free healthcare for every resident.
13,1,Private Healthcare: Advantages
13,0,State hospitals are often very large and difficult to run. 
13,0,Private hospitals have shorter waiting lists for operations and appointments. 
13,0,Patients can benefit from faster treatment.
13,0,Many people prefer to pay for a more personal service. 
13,0,Patients have their own room and more comfortable facilities.
13,1,Alternative Medicine: Positives
13,0,"People are increasingly using alternative medicines to treat illnesses. For example, acupuncture can be used to treat backache. "
13,0,Herbal medicines can be used to treat allergies or viruses. 
13,0,Many patients report positive experiences with these treatments. 
13,0,Some traditional cures have been used for hundreds of years.
13,1,Alternative Medicine: Negatives
13,0,Many alternative medicines have not been tested scientifically. 
13,0,They may have no beneficial effects at all. 
13,0,They may cause unknown side effects. 
13,0,People should trust the opinions of qualified doctors. 
13,0,An illness could get worse without treatment from a doctor.
13,1,Stress
13,0,Modern lifestyles are increasingly stressful. 
13,0,People work long hours with strict deadlines. 
13,0,Our busy lifestyles mean we have less time to relax. 
13,0,Unemployment is a major cause of stress. 
13,0,Children may be affected by their parents’ relationship problems. 
13,0,Tests and exams can also cause stress.
13,1,How to Reduce Stress
13,0,Stress can be reduced by taking regular exercise and eating a healthy diet. 
13,0,It is also important to get sufficient sleep and make leisure time a priority. 
13,0,People should work less overtime and take regular holidays. 
13,0,Schools have started to employ psychologists. They can offer emotional support to students.
14,1,State / Council Housing
14,0,In some countries the government provides state or council housing. 
14,0,This helps people who cannot afford to buy their own house. 
14,0,It can be argued that state housing creates dependence on the government. 
14,0,People should not rely on the government to look after them. 
14,0,People have no incentive to earn money and buy their own home. 
14,0,"Council properties are often made with cheap, poor-quality materials."
14,1,Old Buildings
14,0,Historic buildings are part of a country’s heritage. 
14,0,They should be protected. 
14,0,Old buildings are often considered to be works of art. 
14,0,They give character to cities and attract tourists. 
14,0,They show us how people lived in the past. 
14,0,We identify countries by architectural symbols like the pyramids in Egypt. 
14,0,Governments should spend money on looking after historic buildings. 
14,0,They need regular repairs and maintenance. 
14,0,New buildings should be designed to complement them.
14,1,Modern / Green Buildings
14,0,Modern buildings should be designed to be environmentally friendly. 
14,0,They should use less energy and produce less waste. 
14,0,Modern insulation can make houses more energy-efficient. 
14,0,Solar and wind power can be used to generate electricity. 
14,0,Rainwater and waste water can be recycled and used to flush toilets.
14,0,Modern glass buildings take advantage of natural light.
15,1,English as an International Language
15,0,English is widely used around the world. It is becoming a global second language. 
15,0,"It is the dominant language of technology, science and international business. "
15,0,International business meetings are regularly held in English. 
15,0,The most important textbooks and journals are published in English. 
15,0,The ability to speak English is a necessary skill in the modern world.
15,1,Negatives of English as an International Language
15,0,"If one language is dominant, other languages may disappear. The dominant language brings its own culture. "
15,0,American culture has become popular around the world. 
15,0,Other cultures may be damaged. 
15,0,"As an alternative to English, a new global language could be invented. "
15,0,It would have no nationality or culture attached to it. 
15,0,This could help to promote international peace and understanding. 
15,0,Esperanto is an example of a language that was invented with this aim.
16,1,Money and Society
16,0,Society has become increasingly materialistic. 
16,0,People aspire to earn more money. They want a bigger house or a better car. 
16,0,We connect wealth and material possessions with happiness and success. 
16,0,Brands like ‘Armani’ or ‘Mercedes’ are status symbols. 
16,0,Advertising creates new desires and needs. It persuades us to buy the latest styles.
16,1,Positives of Consumerism
16,0,Consumerism creates employment. 
16,0,It helps to reduce poverty. 
16,0,It encourages innovation and creativity in business.
16,0, We live in a global economy. 
16,0,We have a better quality of life.
16,1,Negatives of Consumerism
16,0,Consumerist societies create more waste. 
16,0,They use more natural resources. 
16,0,They cause damage to the environment. 
16,0,Consumerism creates a “throw-away” culture.
16,0, Advertisers tell us who we are and what we want. 
16,0,Wealth does not lead to happiness. 
16,0,Materialism causes greed and crime. 
16,0,We should return to traditional values like sharing.
17,1,Happiness
17,0,Happiness means different things to different people. 
17,0,It can be described as a feeling of pleasure or enjoyment. 
17,0,People enjoy spending time with family and friends. 
17,0,"Hobbies, sports and games can be a source of fun and enjoyment. "
17,0,Some people see money as a source of happiness. 
17,0,Other people define happiness as something deeper. 
17,0,In order to be truly happy it is necessary to live a good life. 
17,0,We need to feel that we are doing something useful with our lives. 
17,0,Some people get a sense of achievement from their work. 
17,0,Others find happiness in bringing up their children. 
17,0,Religion or a sense of purpose can also be a source of happiness.
17,1,Success
17,0,People define success in different ways. 
17,0,"Some people get a sense of achievement from raising a family. For others, success is defined by wealth or status. "
17,0,We often think of rich and famous people as being successful in life. 
17,0,Millionaires like Bill Gates are considered to be successful. They have risen to the top in their chosen professions. 
17,0,"For some, being successful means achieving personal or professional goals. "
17,0,They see success as the result of hard work. 
17,0,Success in any field requires long-term planning and effort.
17,1,Nature or Nurture
17,0,Some people believe that our personalities are determined mainly by genetics. 
17,0,We inherit our abilities and talents from our parents. 
17,0,Others think that our education and upbringing are more important.
17,0,We develop according to the influences around us. 
17,0,Our personalities and achievements depend more on nurture than nature. 
17,0,Many people argue that we control our own destinies. 
17,0,We can shape our own personalities. 
17,0,By working hard we can achieve any goal that we put our minds to. 
17,0,Many successful people are “self-made”. 
17,0,We are not limited by our genetic characteristics or upbringing.
18,1,Arguments against Professional / Competitive Sport
18,0,Sport has become a business. 
18,0,Professional sport encourages people to compete for money. 
18,0,Many sports stars are only concerned about money and fame. 
18,0,Some athletes take drugs in order to win at any cost. 
18,0,Competitors are often selfish and rude. 
18,0,They are not good role models for children. 
18,0,All sports should be amateur. 
18,0,Sports should be leisure activities rather than jobs. 
18,0,People should do sporting activities for enjoyment and health reasons. 
18,0,Taking part is more important than winning.
18,1,Arguments for Professional Sport
18,0,Professional sports are the same as any other business. 
18,0,Many people are employed in the sports industry. 
18,0,People should be able to use their talents to earn a salary. 
18,0,Sports stars entertain millions of people. 
18,0,Money is necessary to improve facilities and train athletes. 
18,0,The level of professional sport is much higher than that of amateur sport.
18,1,Arguments for Competitive Sport
18,0,Competition is a natural instinct in humans. 
18,0,In daily life we compete to get jobs or the highest grades. 
18,0,Sports are a safe form of competition. 
18,0,Competition is healthy because it pushes us to give our best. 
18,0,Competitors and fans can release energy and aggression. 
18,0,Supporters of teams feel a sense of belonging to a community.
18,1,Opinion: professional sport salaries are too high
18,0,Sports professionals earn too much money. 
18,0,They do not provide a vital service. 
18,0,"Football players, for example, earn enormous salaries by simply kicking a ball. "
18,0,We could all live happily without professional football. 
18,0,"Life would be difficult without doctors, engineers and other vital professionals. "
18,0,Society does not seem to value these professions as highly as professional sport. 
18,0,Sports salaries should be compatible with the wages most people earn.
18,1,Opinion: professional sport salaries are fair 
18,0,It is fair that the best professionals earn a lot of money. 
18,0,Sport is a multi-million-pound industry. 
18,0,There is a large audience of sports fans. 
18,0,Sports on television attract many viewers. 
18,0,Sports stars have dedicated hours of practice to developing their fitness and skills. 
18,0,Only the most talented among them will reach the top. 
18,0,A sports career may only last 10 years. 
18,0,Sports fans are willing to pay to support their teams.
18,1,Sport and Politics
18,0,Some people think that sport and politics should remain separate. 
18,0,Governments are involved in the hosting of sporting events such as the Olympics. 
18,0,These events attract investment and create jobs.
18,0,The Olympic Games are an advertisement for the host nation. 
18,0,They attract huge numbers of visitors and sports fans. 
18,0,Wealthy countries tend to hold these events. 
18,0,Developing countries should be given the chance to become hosts.
19,1,Positives of Television
19,0,Watching television is a good way to relax. 
19,0,It is many people’s favourite way to wind down after a hard day at work. 
19,0,Television programmes can be entertaining and enjoyable. 
19,0,Viewers have access to a huge variety of entertainment channels. 
19,0,"Television brings the best comedians, musicians and actors into our homes. "
19,0,Programmes can also be informative and educational. 
19,0,News coverage makes the public aware of events around the world. 
19,0,Documentaries can make learning more interesting.
19,1,Negatives of Television
19,0,Some people link violence on television with crime rates in the real world.
19,0,Children copy the behaviour they see on the screen.
19,0,Children are less healthy because they spend less time playing.
19,0,Advertisers direct their marketing at children. 
19,0,Most programmes do not require much thought.
19,0,Watching TV is a waste of time that can be used on more meaningful tasks.
19,1,Opinions about Television
19,0,"Television has many benefits. However, it can be addictive."
19,0,Children should play outside rather than sit in front of a screen all day. 
19,0,Behaviour shown on TV can influence people. 
19,0,Parents should choose carefully what their children watch. 
19,0,"Children should not be exposed to violence, swearing or sexual images. "
19,0,Advertising during children’s programmes should be strictly controlled.
19,0,"TV companies should make more positive, educational programmes."
19,1,Positives of the Internet
19,0,There are many advantages to using the Internet. 
19,0,It gives us instant access to information on almost any subject. 
19,0,Shops and other services are now available online. 
19,0,People can buy goods and services from the comfort of their homes. 
19,0,The Internet is starting to replace other forms of entertainment. 
19,0,It has revolutionised communication. 
19,0,We can keep in touch by e-mail or instant messenger services. 
19,0,Video messaging is becoming common for business meetings.
19,1,Negatives of the Internet
19,0,Many websites contain offensive content. 
19,0,Some sites show violent or sexual images. 
19,0,Parents find it difficult to control what their children see online. 
19,0,They do not always know who their children are chatting to. 
19,0,With so many websites it is difficult to search for good information. 
19,0,Criminals increasingly use the Internet to steal people’s money.
19,1,Internet Compared to Newspapers and Books
19,0,Newspapers and books are now published online as well as in print. 
19,0,We can read the news in any language from any country in the world. 
19,0,It costs nothing to publish or access information on the Internet. 
19,0,The Internet allows anybody to publish their own writing. 
19,0,Newspaper articles and books are written by professionals.
19,0,Professionals produce better quality writing than amateurs. 
19,0,People still buy newspapers and books because they are portable. 
19,0,People do not like reading from a screen.
19,1,Positives of Mobile Phones
19,0,The mobile phone is the most popular gadget in today’s world. 
19,0,Mobile phones have revolutionised the way we communicate. 
19,0,"We can stay in touch with family, friends and colleagues wherever we are. "
19,0,"Users can send text messages, surf the Internet, take photos and listen to music. "
19,0,Mobiles have also become fashion accessories.
19,1,Negatives of Mobile Phones
19,0,Mobile phones can be a problem in some public places. 
19,0,Ringing phones cause disturbances in cinemas and school lessons. 
19,0,Some people are not aware that others can hear their conversations. 
19,0,Mobile phones may also interfere with electronic equipment. 
19,0,Their waves could cause damage to our brains. 
19,0,Mobile phones can also be a dangerous distraction. 
19,0,Using a phone while driving reduces the driver’s concentration. 
19,0,Mobile phones are a popular target for thieves.
19,1,Opinion about Mobile Phones
19,0,The benefits of mobile phones outweigh the drawbacks. 
19,0,We need to use these phones with care.
20,1,Positives of Tourism
20,0,Tourism is a popular leisure activity. 
20,0,People go on holiday to relax and have fun. 
20,0,Tourists can experience different cultures. 
20,0,They can sunbathe on beaches or go sight-seeing. 
20,0,Travelling abroad opens our minds. 
20,0,We can learn to speak other languages. 
20,0,The tourist trade is vital for some economies. 
20,0,"It creates employment in services like accommodation, transport and entertainment. "
20,0,Some areas rely on tourism for their income. 
20,0,Tourists spend money. 
20,0,Tourism attracts investment from multi-national companies. 
20,0,It helps to improve the standard of living. 
20,0,Low-cost airlines are making it cheaper to travel abroad.
20,1,Negative Effects of Tourism
20,0,Tourism can have a negative effect on the natural environment. 
20,0,The building of facilities and infrastructure can destroy the habitat of wild animals. 
20,0,Beautiful beaches are spoilt by the building of hotels.
20,0,Tourism creates pollution and waste. 
20,0,It puts pressure on local resources.
20,0,Local traditions and cultures may be endangered. 
20,0,A rise in the cost of living affects local people. 
20,0,"The price of goods, services and housing may increase significantly."
20,1,The Future of Tourism
20,0,Governments should introduce laws to protect natural environments and local cultures. 
20,0,Tourism should have a low impact on wildlife.
20,0,Renewable resources like solar or water power should be used. 
20,0,Waste should be recycled. Local businesses such as farms should be supported.
21,1,Losing Traditional Skills
21,0,"Because of industrialisation and global trade, many traditions have disappeared. "
21,0,Global advertising encourages everyone to buy the same products. 
21,0,Most products are now made in factories. 
21,0,Machinery has replaced skilled human labour. 
21,0,Factory work is boring and leaves people feeling unfulfilled. 
21,0,Goods are produced very quickly and in large numbers. 
21,0,"Products are cheaper, which means that more people can buy them."
21,0,Clothes are mass produced in standard sizes. 
21,0,"People wear similar clothes, rather than traditional costumes. "
21,0,Jeans and T-shirts are now worn throughout the world. 
21,0,Historic buildings took skilled craftsmen years to build. 
21,0,"Modern concrete, steel and glass buildings are built in only weeks or months. "
21,0,There are fewer people who can create hand-made goods.
21,1,Traditional Customs
21,0,Traditional customs are still important during weddings and religious festivals. 
21,0,People wear traditional costumes and eat special foods. 
21,0,It is important to maintain our different cultural identities. 
21,0,"We should celebrate festivals, teach traditional skills and protect historic places."
22,1,Traffic Problems
22,0,Traffic congestion is caused by commuters travelling to work. 
22,0,Most people live in the suburbs outside city centres. 
22,0,Commuters tend to travel at the same time of day. They tend to travel alone. 
22,0,Cars and road space are not used efficiently. 
22,0,This causes traffic jams during the rush hour.
22,1,Traffic Solutions
22,0,In order to reduce traffic we should change our working habits. 
22,0,The Internet can now be used to connect people. 
22,0,More people could work from home. 
22,0,Meetings can be held as video conferences. 
22,0,Workers could be given flexible timetables. 
22,0,Another solution would be to tax drivers. 
22,0,Workers should share their cars and travel together. 
22,0,"In London, for example, there is a congestion charge. This helps to raise money for better public transport. "
22,0,Public transport needs to be reliable and efficient.
22,1,Negatives of Public Transport
22,0,Public transport is often slow and unreliable. Metro systems and trains are often dirty and crowded. 
22,0,People feel like “sardines in a can”. 
22,0,Cars are much more comfortable.
22,1,Road Safety
22,0,Driving while tired or drunk is extremely dangerous. 
22,0,Mobile phones can be a dangerous distraction for drivers. 
22,0,They draw the driver’s attention away from the road. 
22,0,The use of phones while driving has been banned in many countries. 
22,0,Punishments are becoming stricter. 
22,0,Television campaigns are used to remind people to drive safely. 
22,0,Speed cameras have become more common. 
22,0,Speed bumps are another form of traffic calming. 
22,0,Many streets are designed with the aim of slowing traffic down.
23,1,Importance of Clean Water 
23,0,Water is an essential natural resource. 
23,0,"Humans need access to clean, safe drinking water in order to live. "
23,0,Poor water quality is a major cause of disease and death in some countries. 
23,0,Water usually needs to be treated before we can drink it. 
23,0,Developing countries often lack the means to treat and supply water to citizens. 
23,0,Developed countries tend to have much better sanitation. 
23,0,Citizens have access to clean tap water. 
23,0,Drinking water is not contaminated by sewage or waste water. 
23,0,The supply of clean water would improve public health in many developing countries.
23,1,Water Supply
23,0,Urban life would be impossible without water supply systems. 
23,0,These systems are massive engineering projects. 
23,0,"Many professionals are involved in their planning, construction and maintenance. "
23,0,The supply and distribution of water are major concerns. 
23,0,Water is becoming scarce in some countries. 
23,0,Areas that suffer droughts often need to import water. 
23,0,"As populations grow, there is more pressure on water supplies. This could lead to a water crisis."
23,1,Water and Politics
23,0,The supply of water is also an important political issue. 
23,0,Huge amounts of water are needed for agriculture and industry. 
23,0,The irrigation of crops accounts for a large proportion of water use. 
23,0,A water crisis could lead to political conflicts or even wars.
23,1,Argument: water should be free
23,0,Some people believe that water should be free for everyone. 
23,0,Governments should supply water to all homes at no cost. 
23,0,Private companies should not be allowed to profit from this natural resource. 
23,0,Money from taxes can be used to pay for water supply systems.
23,1,Argument: water should not be free
23,0,"If water is free, people take it for granted. "
23,0,They do not think about how much water they waste. 
23,0,They leave taps running while washing or brushing their teeth. 
23,0,"If we have to pay for water, we will use it more responsibly. "
23,0,Water supply systems are extremely expensive. 
23,0,Investment is needed to maintain and improve them. 
23,0,Private companies may provide a better service than governments. 
23,0,"If they provide an efficient service, they will make more money."
23,0,They will repair leaks to avoid losing money.
23,1,Bottled Water: Opinions
23,0,"Some people carry bottles of water wherever they go. For example, they take bottles of water to work or to the gym. "
23,0,They believe that bottled water is healthier than tap water. 
23,0,"They also argue that it tastes better. However, other people believe that we should consume less bottled water. "
23,0,Plastic water bottles add to litter and waste problems. 
23,0,Companies should not be able to make a profit from water. 
23,0,It is unethical to make money by selling packaged water. 
23,0,There is no difference in quality between bottled and tap water.
24,1,The benefits of staying in the same job for life:
24,0,Employees have a stable career with one employer. 
24,0,They have a good pension and health insurance. 
24,0,Their salaries gradually increase. 
24,0,They may be promoted within the organisation. 
24,0,They demonstrate loyalty. 
24,0,Experienced staff can be trusted with more responsibility. 
24,0,They become part of a team. 
24,0,There is a clearly defined path for development.
24,1,The benefits of not staying in the same job:
24,0,People often change jobs in order to further their career. 
24,0,Another company may offer a promotion or a higher salary. 
24,0,People who change jobs can gain experience
24,0,They can learn different skills. 
24,0,Changing jobs is interesting and challenging. 
24,0,People can retrain in a different occupation. 
24,0,In a fast-changing world workers need to be flexible. 
24,0,People need to develop a range of experience and skills.
24,1,Self-employment
24,0,"Nowadays, it is easy to set up a company. "
24,0,The Internet provides a global marketplace. 
24,0,Self-employment offers greater freedom than working for a company.
24,0,Many businesses fail to make a profit. 
24,0,There is less stability in self-employment. 
24,0,"There are no benefits like pensions, sick pay and holiday pay. "
24,0,"Self-employment involves hard work, long hours and total responsibility."
24,1,Unemployment
24,0,"Unemployment is a big problem for individuals, communities and society. "
24,0,Some people are unable to find a job. 
24,0,They may not have the sufficient level of education or qualifications. 
24,0,They may find themselves homeless. 
24,0,Unemployment causes frustration and stress. 
24,0,Jobless people may become involved in crime as a means to get money. 
24,0,The unemployed need careers advice. 
24,0,Governments need to provide vocational courses and retraining.
24,1,Unemployment Benefits: Positives
24,0,Some governments pay unemployment benefits in order to help jobless people. 
24,0,Unemployed people need financial support until they find a new job. 
24,0,By claiming benefits they can continue to pay for their homes.
24,0,"The benefits system helps to reduce poverty, homelessness and crime."
24,1,Unemployment Benefits: Negatives
24,0,Some people claim benefits rather than working. 
24,0,They become dependent on the government. 
24,0,They are not motivated to find a job. 
24,0,The benefits system is a burden on taxpayers. 
24,0,All citizens should work to earn a living and support themselves. 
24,0,Receiving benefits affects people’s self-esteem.
24,1,Work / Life Balance
24,0,It is important to achieve a balance between work time and leisure or family time. 
24,0,Too much work can result in stress and poor health. “Workaholics” may neglect their families and friends. 
24,0,People need to take regular holidays. 
24,0,Companies should not expect employees to work overtime. 
24,0,"Nowadays, many people work part-time or have flexible working hours. "
24,0,Technology allows people to work from home. 
24,0,Many companies provide childcare facilities. 
24,0,A good work/life balance can raise job satisfaction. 
24,0,"Happy, healthy workers are more productive."
24,1,Technology and Work
24,0,"Internet, fax and mobile phone technologies have revolutionised working life. "
24,0,"Workers can communicate via e-mail, online networks and video conferencing. "
24,0,Technology can connect workers in different countries. 
24,0,It gives people more freedom. 
24,0,It can also save time and money. 
24,0,Some people believe that offices could disappear in the future. 
24,0,Virtual online offices may replace them.
24,1,Child Labour 
24,0,"In some countries, children are exploited. "
24,0,They do repetitive jobs for very low pay. 
24,0,Children are often used in agriculture and factory work. 
24,0,The employment of children is prohibited in other countries. 
24,0,Many people think that children should be free to enjoy their childhood.
24,0,Governments should make education a priority. 
24,0,They should build new schools. 
24,0,They should supply the resources to educate children. 
24,0,Children need to be given the knowledge and skills for adult life.
,,
